iter	Passed	Remaining
0	155	155783
1	157	78655
2	158	52817
3	160	39877
4	161	32129
5	162	26981
6	164	23316
7	165	20542
8	166	18379
9	168	16643
10	169	15236
11	170	14065
12	172	13077
13	173	12223
14	174	11478
15	176	10831
16	178	10296
17	180	9831
18	181	9371
19	182	8961
20	184	8585
21	185	8242
22	186	7932
23	188	7647
24	189	7386
25	190	7141
26	192	6932
27	193	6728
28	195	6534
29	196	6350
30	197	6179
31	199	6020
32	200	5870
33	201	5729
34	202	5595
35	204	5468
36	205	5357
37	207	5254
38	208	5147
39	210	5047
40	211	4950
41	212	4858
42	214	4769
43	215	4682
44	216	4600
45	218	4522
46	220	4467
47	221	4399
48	223	4334
49	224	4266
50	225	4203
51	227	4144
52	228	4087
53	230	4031
54	231	3979
55	233	3931
56	234	3883
57	236	3837
58	237	3792
59	239	3747
60	240	3703
61	241	3661
62	243	3621
63	244	3580
64	246	3542
65	247	3509
66	250	3488
67	251	3443
68	252	3410
69	254	3376
70	255	3343
71	257	3314
72	258	3286
73	260	3255
74	261	3225
75	262	3196
76	264	3168
77	265	3141
78	267	3115
79	268	3089
80	270	3063
81	271	3040
82	273	3016
83	274	2992
84	275	2964
85	276	2941
86	277	2914
87	279	2893
88	280	2875
89	282	2857
90	284	2837
91	285	2817
92	286	2798
93	288	2780
94	289	2760
95	291	2742
96	292	2723
97	294	2707
98	295	2691
99	297	2673
100	298	2656
101	299	2633
102	300	2618
103	301	2601
104	303	2584
105	304	2568
106	305	2552
107	307	2536
108	308	2523
109	310	2508
110	311	2493
111	312	2478
112	313	2464
113	315	2450
114	316	2437
115	317	2421
116	319	2408
117	320	2395
118	321	2381
119	323	2369
120	324	2357
121	325	2345
122	326	2328
123	327	2316
124	329	2305
125	330	2294
126	332	2284
127	333	2270
128	334	2258
129	335	2248
130	337	2238
131	338	2227
132	340	2217
133	341	2207
134	342	2197
135	344	2186
136	345	2177
137	346	2166
138	348	2157
139	349	2147
140	351	2140
141	352	2132
142	354	2123
143	355	2114
144	357	2105
145	358	2096
146	359	2088
147	361	2081
148	363	2074
149	366	2075
150	368	2073
151	370	2065
152	371	2057
153	373	2049
154	374	2042
155	376	2034
156	377	2026
157	378	2018
158	380	2010
159	381	2002
160	382	1994
161	383	1986
162	385	1979
163	386	1971
164	387	1963
165	389	1955
166	390	1948
167	391	1940
168	393	1932
169	394	1925
170	395	1917
171	396	1910
172	398	1902
173	399	1895
174	400	1888
175	401	1880
176	403	1873
177	404	1867
178	405	1860
179	406	1853
180	407	1844
181	408	1837
182	409	1830
183	411	1823
184	412	1816
185	413	1809
186	414	1802
187	415	1796
188	417	1789
189	418	1784
190	419	1778
191	421	1771
192	422	1765
193	423	1759
194	424	1753
195	425	1747
196	427	1741
197	428	1735
198	429	1729
199	430	1723
200	432	1718
201	433	1712
202	434	1707
203	436	1702
204	437	1697
205	438	1691
206	440	1686
207	441	1681
208	442	1676
209	444	1670
210	445	1665
211	446	1660
212	448	1655
213	449	1650
214	450	1645
215	451	1639
216	453	1634
217	454	1629
218	455	1624
219	456	1619
220	457	1614
221	459	1609
222	460	1604
223	461	1599
224	463	1595
225	464	1590
226	465	1585
227	466	1580
228	467	1575
229	469	1570
230	470	1565
231	471	1561
232	472	1556
233	474	1551
234	475	1547
235	476	1542
236	477	1538
237	479	1533
238	480	1529
239	481	1525
240	482	1520
241	483	1515
242	485	1511
243	486	1506
244	487	1502
245	489	1498
246	490	1494
247	491	1490
248	492	1486
249	494	1482
250	495	1478
251	496	1473
252	497	1469
253	498	1465
254	500	1461
255	501	1456
256	502	1453
257	503	1448
258	505	1444
259	506	1440
260	507	1437
261	508	1433
262	509	1429
263	511	1425
264	512	1421
265	513	1417
266	515	1414
267	516	1410
268	517	1406
269	518	1402
270	520	1399
271	521	1395
272	522	1392
273	524	1388
274	525	1384
275	526	1380
276	527	1377
277	528	1373
278	530	1369
279	531	1366
280	532	1362
281	533	1358
282	534	1355
283	536	1352
284	537	1348
285	538	1345
286	540	1341
287	541	1338
288	542	1335
289	544	1332
290	545	1329
291	546	1325
292	547	1322
293	549	1318
294	550	1315
295	551	1312
296	553	1309
297	554	1306
298	555	1302
299	556	1299
300	558	1296
301	559	1293
302	560	1289
303	561	1286
304	563	1283
305	564	1280
306	565	1277
307	567	1274
308	568	1271
309	570	1268
310	571	1265
311	572	1262
312	573	1259
313	575	1256
314	576	1253
315	577	1250
316	578	1247
317	580	1244
318	581	1241
319	582	1238
320	583	1235
321	585	1231
322	586	1228
323	587	1225
324	588	1222
325	589	1219
326	591	1216
327	592	1213
328	593	1210
329	594	1207
330	596	1205
331	597	1202
332	598	1199
333	600	1196
334	601	1193
335	602	1191
336	603	1188
337	605	1185
338	606	1182
339	607	1179
340	608	1176
341	610	1173
342	611	1171
343	612	1168
344	613	1165
345	615	1162
346	616	1160
347	617	1157
348	618	1154
349	619	1151
350	621	1148
351	622	1145
352	623	1142
353	624	1140
354	626	1137
355	627	1134
356	628	1132
357	629	1129
358	631	1126
359	632	1124
360	633	1121
361	634	1118
362	636	1116
363	637	1113
364	638	1110
365	639	1108
366	641	1105
367	642	1103
368	643	1100
369	644	1097
370	645	1095
371	647	1092
372	648	1089
373	649	1087
374	650	1084
375	652	1082
376	653	1079
377	654	1077
378	656	1074
379	657	1072
380	658	1069
381	659	1067
382	660	1064
383	662	1061
384	663	1059
385	664	1057
386	665	1054
387	667	1052
388	668	1050
389	669	1047
390	670	1045
391	672	1042
392	673	1040
393	674	1037
394	675	1035
395	677	1032
396	678	1030
397	679	1027
398	680	1025
399	682	1023
400	683	1020
401	684	1018
402	685	1016
403	687	1013
404	688	1011
405	689	1008
406	690	1006
407	692	1004
408	693	1001
409	694	999
410	695	997
411	696	994
412	698	992
413	699	990
414	700	987
415	702	985
416	703	983
417	704	980
418	705	978
419	706	976
420	708	973
421	709	971
422	710	969
423	712	967
424	713	965
425	714	962
426	715	960
427	717	958
428	718	955
429	719	953
430	720	951
431	721	949
432	723	947
433	724	945
434	726	943
435	728	941
436	729	939
437	730	937
438	732	935
439	733	933
440	734	931
441	735	928
442	737	926
443	738	924
444	739	922
445	740	920
446	742	918
447	743	916
448	744	913
449	745	911
450	747	909
451	748	907
452	749	905
453	750	903
454	752	900
455	753	898
456	754	896
457	755	894
458	756	892
459	758	890
460	759	888
461	760	885
462	761	883
463	763	881
464	764	879
465	765	877
466	767	875
467	768	873
468	769	871
469	770	869
470	771	866
471	773	864
472	774	862
473	775	860
474	776	858
475	778	856
476	779	854
477	780	852
478	781	850
479	783	848
480	784	846
481	785	844
482	786	842
483	788	840
484	789	838
485	790	836
486	791	834
487	793	832
488	794	829
489	795	827
490	796	825
491	797	823
492	799	821
493	800	819
494	801	817
495	802	815
496	804	813
497	805	811
498	806	809
499	807	807
500	808	805
501	810	803
502	811	801
503	812	799
504	813	797
505	814	795
506	816	793
507	817	791
508	818	789
509	820	787
510	821	785
511	822	784
512	823	782
513	825	780
514	826	778
515	827	776
516	828	774
517	829	772
518	831	770
519	832	768
520	833	766
521	835	764
522	836	762
523	837	760
524	838	758
525	839	756
526	841	754
527	842	752
528	843	751
529	844	749
530	846	747
531	847	745
532	848	743
533	850	741
534	851	740
535	852	738
536	853	736
537	855	734
538	856	732
539	857	730
540	858	728
541	860	726
542	861	724
543	862	723
544	863	721
545	865	719
546	866	717
547	867	715
548	868	713
549	869	711
550	871	709
551	872	707
552	873	706
553	874	704
554	876	702
555	877	700
556	878	698
557	879	696
558	881	695
559	882	693
560	883	691
561	884	689
562	885	687
563	886	685
564	888	683
565	889	681
566	890	680
567	892	678
568	893	676
569	894	674
570	895	672
571	896	671
572	898	669
573	899	667
574	900	665
575	901	663
576	902	661
577	904	660
578	905	658
579	906	656
580	908	654
581	909	653
582	910	651
583	911	649
584	913	647
585	914	645
586	915	644
587	916	642
588	918	640
589	919	638
590	920	637
591	921	635
592	923	633
593	924	631
594	925	629
595	926	628
596	927	626
597	929	624
598	930	622
599	931	621
600	932	619
601	934	617
602	935	615
603	936	614
604	937	612
605	939	610
606	940	608
607	941	607
608	942	605
609	943	603
610	945	601
611	946	600
612	947	598
613	948	596
614	950	594
615	951	593
616	952	591
617	953	589
618	955	587
619	956	586
620	957	584
621	958	582
622	960	580
623	961	579
624	962	577
625	963	575
626	964	573
627	966	572
628	967	570
629	968	568
630	969	567
631	970	565
632	972	563
633	973	561
634	974	560
635	975	558
636	977	556
637	978	555
638	979	553
639	980	551
640	982	550
641	983	548
642	984	546
643	985	544
644	986	543
645	988	541
646	989	539
647	990	538
648	991	536
649	993	535
650	994	533
651	996	531
652	997	529
653	998	528
654	999	526
655	1001	524
656	1002	523
657	1003	521
658	1004	519
659	1005	518
660	1007	516
661	1008	514
662	1009	513
663	1011	511
664	1012	509
665	1013	508
666	1014	506
667	1016	504
668	1017	503
669	1018	501
670	1019	499
671	1020	498
672	1022	496
673	1023	495
674	1024	493
675	1026	491
676	1027	490
677	1028	488
678	1030	486
679	1031	485
680	1032	483
681	1033	481
682	1034	480
683	1035	478
684	1037	476
685	1038	475
686	1039	473
687	1040	472
688	1042	470
689	1043	468
690	1044	467
691	1045	465
692	1047	463
693	1048	462
694	1049	460
695	1050	458
696	1052	457
697	1053	455
698	1054	454
699	1055	452
700	1057	450
701	1058	449
702	1059	447
703	1060	446
704	1062	444
705	1062	442
706	1064	441
707	1065	439
708	1066	437
709	1068	436
710	1069	434
711	1070	433
712	1071	431
713	1073	429
714	1074	428
715	1075	426
716	1076	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1083	417
722	1084	415
723	1086	414
724	1087	412
725	1088	410
726	1090	409
727	1091	407
728	1093	406
729	1094	404
730	1095	403
731	1096	401
732	1098	400
733	1099	398
734	1100	396
735	1102	395
736	1103	393
737	1104	392
738	1105	390
739	1106	388
740	1108	387
741	1109	385
742	1110	384
743	1112	382
744	1113	381
745	1114	379
746	1115	377
747	1117	376
748	1118	374
749	1119	373
750	1120	371
751	1121	369
752	1123	368
753	1124	366
754	1125	365
755	1127	363
756	1128	362
757	1129	360
758	1130	359
759	1132	357
760	1133	355
761	1134	354
762	1135	352
763	1136	351
764	1138	349
765	1139	348
766	1141	346
767	1142	345
768	1144	343
769	1145	342
770	1146	340
771	1148	339
772	1149	337
773	1150	335
774	1151	334
775	1153	332
776	1154	331
777	1156	329
778	1157	328
779	1158	326
780	1159	325
781	1160	323
782	1162	322
783	1163	320
784	1164	318
785	1165	317
786	1167	315
787	1168	314
788	1169	312
789	1170	311
790	1172	309
791	1173	308
792	1174	306
793	1175	305
794	1176	303
795	1178	301
796	1179	300
797	1180	298
798	1181	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1188	289
804	1189	288
805	1190	286
806	1191	285
807	1193	283
808	1194	281
809	1195	280
810	1196	278
811	1197	277
812	1199	275
813	1200	274
814	1201	272
815	1203	271
816	1204	269
817	1205	268
818	1206	266
819	1207	265
820	1209	263
821	1210	262
822	1211	260
823	1213	259
824	1214	257
825	1215	256
826	1216	254
827	1218	253
828	1219	251
829	1220	250
830	1221	248
831	1223	247
832	1224	245
833	1225	243
834	1227	242
835	1228	240
836	1229	239
837	1230	237
838	1232	236
839	1233	234
840	1234	233
841	1235	231
842	1237	230
843	1238	228
844	1239	227
845	1241	225
846	1242	224
847	1243	222
848	1245	221
849	1246	219
850	1247	218
851	1248	216
852	1250	215
853	1251	213
854	1252	212
855	1254	210
856	1255	209
857	1256	207
858	1257	206
859	1259	204
860	1260	203
861	1261	201
862	1262	200
863	1264	198
864	1265	197
865	1266	195
866	1267	194
867	1269	192
868	1270	191
869	1271	189
870	1272	188
871	1274	187
872	1275	185
873	1276	184
874	1277	182
875	1279	181
876	1280	179
877	1281	178
878	1282	176
879	1284	175
880	1285	173
881	1286	172
882	1287	170
883	1288	169
884	1290	167
885	1291	166
886	1292	164
887	1294	163
888	1295	161
889	1296	160
890	1297	158
891	1299	157
892	1300	155
893	1301	154
894	1302	152
895	1303	151
896	1305	149
897	1306	148
898	1307	146
899	1309	145
900	1310	143
901	1311	142
902	1312	141
903	1313	139
904	1315	138
905	1316	136
906	1317	135
907	1318	133
908	1320	132
909	1321	130
910	1323	129
911	1324	127
912	1325	126
913	1326	124
914	1328	123
915	1329	121
916	1330	120
917	1331	118
918	1333	117
919	1334	116
920	1335	114
921	1336	113
922	1338	111
923	1339	110
924	1340	108
925	1341	107
926	1342	105
927	1344	104
928	1345	102
929	1346	101
930	1347	99
931	1349	98
932	1350	96
933	1351	95
934	1352	94
935	1353	92
936	1354	91
937	1356	89
938	1357	88
939	1358	86
940	1359	85
941	1360	83
942	1362	82
943	1363	80
944	1364	79
945	1366	77
946	1367	76
947	1368	75
948	1369	73
949	1371	72
950	1372	70
951	1373	69
952	1374	67
953	1376	66
954	1377	64
955	1378	63
956	1380	62
957	1381	60
958	1382	59
959	1383	57
960	1385	56
961	1386	54
962	1387	53
963	1388	51
964	1390	50
965	1391	48
966	1392	47
967	1393	46
968	1395	44
969	1396	43
970	1397	41
971	1398	40
972	1399	38
973	1400	37
974	1402	35
975	1403	34
976	1404	33
977	1406	31
978	1407	30
979	1408	28
980	1409	27
981	1411	25
982	1412	24
983	1413	22
984	1414	21
985	1415	20
986	1417	18
987	1418	17
988	1420	15
989	1421	14
990	1422	12
991	1423	11
992	1424	10
993	1426	8
994	1427	7
995	1428	5
996	1429	4
997	1430	2
998	1432	1
999	1433	0
